12-17 19:40:24.919  1795 17832 D ActivityManager: getRecentTasks: topActivity=ComponentInfo{com.tencent.mm/com.tencent.mm.ui.LauncherUI}
12-17 19:40:24.920  2852  2852 I SystemServicesProxy: get the task from ActivityManager size is 10 AMS:getRecentTasksForUser,args:numTasksToQuery=10,flags=62,userId=0
12-17 19:40:24.944  2852  2852 I PhoneStatusBar: setSystemUiVisibility vis=8708 mask=ffffffff oldVal=80000708 newVal=8708 diff=80008000
12-17 19:40:24.944  2852  2852 I BarTransitions.HwPhoneStatusBarView: transitionTo: mode=MODE_TRANSPARENT, animate=false
12-17 19:40:24.944  2852  2852 I BarTransitions.HwNavigationBarView: transitionTo: mode=MODE_TRANSPARENT, animate=false
12-17 19:40:24.944  2852  2852 D BarTransitions.HwNavigationBarView: MODE_TRANSLUCENT -> MODE_TRANSPARENT animate=false
12-17 19:40:24.945  2852  2852 D BarTransitions.HwNavigationBarView: applyModeBackground oldMode=MODE_TRANSLUCENT newMode=MODE_TRANSPARENT animate=false
12-17 19:40:24.945  2852  2852 I HwNavigationBarTransitions: transitionTo:mode=4, isEmuiStyle=false
12-17 19:40:24.945  2852  2852 I PhoneStatusBar: cancelAutohide
12-17 19:40:24.945  2852  2852 I PhoneStatusBar: notifyUiVisibilityChanged:vis=0x8708, SystemUiVisibility=0x8708
12-17 19:40:24.946  4492  4492 I HwResourcesImpl: load icon id : 7f02011e, pkgName : com.baidu.input_huawei
12-17 19:40:24.946  4492  4492 W CfgFilePolicy: No config file found for:/themes/diff/icons
12-17 19:40:24.946  4492  4492 W CfgFilePolicy: CFG_DIRS length : 9
12-17 19:40:24.946  4492  4492 I HwResourcesImpl: icon : com.baidu.input_huawei found in app
12-17 19:40:24.950  1795  3121 I ActivityManager_service: retrieveServiceLocked, callerApp: ProcessRecord{c5c29c4 3879:com.huawei.android.launcher/u0a61}, flags: 10000400
12-17 19:40:24.950  1795  3121 I ActivityManager_service: bindServiceLocked, r: ServiceRecord{f399eb5 u0 euid: 0 com.huawei.android.totemweather/.service.WeatherService}, euid: 0
12-17 19:40:24.956 16628 16628 D HwCust  : Create obj success use class com.huawei.android.totemweather.utils.HwCustTotemLocationImpl
12-17 19:40:24.969  1795  1821 I ActivityManager_activity: windowsGone(): ActivityRecord{930e418 u0 com.huawei.android.launcher/.unihome.UniHomeLauncher t297}
12-17 19:40:24.973  4492  4492 I ActivityManager_activity: Reporting idle of ActivityRecord{50977f4 token=android.os.BinderProxy@4e2962b {com.tencent.mm/com.tencent.mm.ui.LauncherUI}} finished=false
12-17 19:40:24.974  1795  3884 D PowerManagerService: release:lock=230301592, flg=0x0, tag="*launch*", name=android", ws=WorkSource{10105}, uid=1000, pid=1795
12-17 19:40:24.974  1795  3884 D PowerManagerService: ready=true,policy=3,wakefulness=1,wksummary=0x0,uasummary=0x1,bootcompleted=true,boostinprogress=false,waitmodeenable=false,mode=true,manual=33,auto=-1,adj=0.0userId=0
12-17 19:40:24.974  1795  3884 D PowerManagerService: Releasing suspend blocker "PowerManagerService.WakeLocks".
12-17 19:40:24.975  1795  2377 V HwPackageManagerService: Returning system default Launcher 
12-17 19:40:24.975  1795  2377 I AwareLog: AwareMem_EventTracker: [APP_ACTIVITY_FINISH_123163523] is abandoned for memory 847476
12-17 19:40:24.976  1795  2748 D HwAmbientLuxFilterAlgo: earliestValidTime + POWER_ON_BRIGHTENING_LIGHT_DEBOUNCE
12-17 19:40:24.976  1795  2748 D HwAmbientLuxFilterAlgo: earliestValidTime + POWER_ON_DARKENING_LIGHT_DEBOUNCE
12-17 19:40:25.101   633 20833 I SDK     : <2016-12-17 19:40:25> [NOTICE] SDK: UE-SeC 2016-12-17 19:40:25:101 Level[NOTICE] magic[2599479584 1896]:AnyOffice_IsTunnelAvailable: TLS Tunnel is available!
12-17 19:40:25.101   633 20833 I SDK     : 
12-17 19:40:25.101   633 20833 I SDK     : <2016-12-17 19:40:25> [NOTICE] SDK: UE-SeC 2016-12-17 19:40:25:101 Level[NOTICE] magic[2599479584 1960]:AnyOffice_ReconnectTunnel : tunnel is available, do not need to reconnect
12-17 19:40:25.101   633 20833 I SDK     : 
12-17 19:40:25.101   633 20833 I SDK     : <2016-12-17 19:40:25> [NOTICE] SDK: UE-SeC 2016-12-17 19:40:25:101 Level[NOTICE] magic[2599479584 1019]:SDK:end nativeForceTunnelReconnect
12-17 19:40:25.101   633 20833 I SDK     : 
12-17 19:40:25.101   633 20833 D sdk     : do mdm check
12-17 19:40:25.102   633 20849 I SDK     : <2016-12-17 19:40:25> [NOTICE] SDK: UE-SeC 2016-12-17 19:40:25:102 Level[NOTICE] magic[2523810080 1509]:sdkmdm: sdk mdm check start
12-17 19:40:25.102   633 20849 I SDK     : 
12-17 19:40:25.102   633 20849 I SDK     : <2016-12-17 19:40:25> [NOTICE] SDK: UE-SeC 2016-12-17 19:40:25:102 Level[NOTICE] magic[2523810080 1382]:sdkmdm: enable
12-17 19:40:25.102   633 20849 I SDK     : 
12-17 19:40:25.102   633 20849 I SDK     : <2016-12-17 19:40:25> [NOTICE] SDK: UE-SeC 2016-12-17 19:40:25:102 Level[NOTICE] magic[2523810080 2326]:FSM_OpenFile => [START],Mode[r]
12-17 19:40:25.102   633 20849 I SDK     : 
