[Thu Oct 13 06:41:11 2005] [error] [client 193.77.212.241] script not found or unable to stat: /var/www/cgi-bin/awstats.pl
[Thu Oct 13 06:41:11 2005] [error] [client 193.77.212.241] File does not exist: /var/www/html/awstats/awstats.pl
[Thu Oct 13 06:41:11 2005] [error] [client 193.77.212.241] File does not exist: /var/www/html/awstats/awstats.pl
[Thu Oct 13 06:41:11 2005] [error] [client 193.77.212.241] script not found or unable to stat: /var/www/cgi-bin/awstats.pl
[Thu Oct 13 06:41:11 2005] [error] [client 193.77.212.241] File does not exist: /var/www/html/awstats/awstats.pl
[Thu Oct 13 06:41:12 2005] [error] [client 193.77.212.241] script not found or unable to stat: /var/www/cgi-bin/awstats.pl
[Thu Oct 13 06:41:12 2005] [error] [client 193.77.212.241] File does not exist: /var/www/html/awstats/awstats.pl
[Thu Oct 13 06:41:12 2005] [error] [client 193.77.212.241] File does not exist: /var/www/html/awstats/awstats.pl
[Thu Oct 13 06:41:12 2005] [error] [client 193.77.212.241] File does not exist: /var/www/html/awstats/awstats.pl
[Thu Oct 13 06:41:12 2005] [error] [client 193.77.212.241] File does not exist: /var/www/html/awstats/awstats.pl
[Thu Oct 13 06:41:12 2005] [error] [client 193.77.212.241] File does not exist: /var/www/html/awstats/awstats.pl
[Thu Oct 13 06:41:12 2005] [error] [client 193.77.212.241] script not found or unable to stat: /var/www/cgi-bin/awstats.pl
[Thu Oct 13 06:41:12 2005] [error] [client 193.77.212.241] script not found or unable to stat: /var/www/cgi-bin/awstats.pl
[Thu Oct 13 06:41:12 2005] [error] [client 193.77.212.241] File does not exist: /var/www/html/awstats/awstats.pl
[Thu Oct 13 06:41:12 2005] [error] [client 193.77.212.241] File does not exist: /var/www/html/awstats/awstats.pl
[Thu Oct 13 06:41:12 2005] [error] [client 193.77.212.241] File does not exist: /var/www/html/awstats/awstats.pl
[Thu Oct 13 06:41:12 2005] [error] [client 193.77.212.241] File does not exist: /var/www/html/awstats/awstats.pl
[Thu Oct 13 06:41:12 2005] [error] [client 193.77.212.241] script not found or unable to stat: /var/www/cgi-bin/awstats.pl
[Thu Oct 13 06:41:12 2005] [error] [client 193.77.212.241] script not found or unable to stat: /var/www/cgi-bin/awstats.pl
[Thu Oct 13 06:41:13 2005] [error] [client 193.77.212.241] script not found or unable to stat: /var/www/cgi-bin/awstats.pl
[Thu Oct 13 06:41:13 2005] [error] [client 193.77.212.241] File does not exist: /var/www/html/awstats/awstats.pl
[Thu Oct 13 06:41:13 2005] [error] [client 193.77.212.241] script not found or unable to stat: /var/www/cgi-bin/awstats.pl
[Thu Oct 13 06:41:13 2005] [error] [client 193.77.212.241] script not found or unable to stat: /var/www/cgi-bin/awstats.pl
[Thu Oct 13 06:41:14 2005] [error] [client 193.77.212.241] script not found or unable to stat: /var/www/cgi-bin/awstats.pl
[Thu Oct 13 06:41:14 2005] [error] [client 193.77.212.241] File does not exist: /var/www/html/awstats/awstats.pl
[Thu Oct 13 07:09:57 2005] [error] [client 69.152.48.26] Directory index forbidden by rule: /var/www/html/
[Thu Oct 13 07:20:07 2005] [error] [client 218.17.10.164] Directory index forbidden by rule: /var/www/html/
[Thu Oct 13 09:07:52 2005] [error] [client 221.232.182.112] Directory index forbidden by rule: /var/www/html/
[Thu Oct 13 09:17:24 2005] [error] [client 62.179.177.91] Directory index forbidden by rule: /var/www/html/
[Thu Oct 13 11:41:27 2005] [error] [client 208.246.214.1] Directory index forbidden by rule: /var/www/html/
[Thu Oct 13 11:54:24 2005] [error] [client 67.88.102.58] Directory index forbidden by rule: /var/www/html/
[Thu Oct 13 11:59:07 2005] [error] [client 61.144.96.88] Directory index forbidden by rule: /var/www/html/
[Thu Oct 13 13:00:55 2005] [error] [client 198.70.193.2] Directory index forbidden by rule: /var/www/html/
[Thu Oct 13 13:00:57 2005] [error] [client 211.152.182.76] Directory index forbidden by rule: /var/www/html/
[Thu Oct 13 13:04:53 2005] [error] [client 220.161.37.205] Directory index forbidden by rule: /var/www/html/
[Thu Oct 13 14:29:43 2005] [error] [client 61.222.14.52] Directory index forbidden by rule: /var/www/html/
[Thu Oct 13 14:55:30 2005] [error] [client 68.33.87.170] Directory index forbidden by rule: /var/www/html/
[Thu Oct 13 15:56:58 2005] [error] [client 218.8.193.131] Directory index forbidden by rule: /var/www/html/
[Thu Oct 13 16:45:48 2005] [error] [client 64.91.163.220] Directory index forbidden by rule: /var/www/html/
[Thu Oct 13 19:30:24 2005] [error] [client 220.173.210.235] Directory index forbidden by rule: /var/www/html/
[Thu Oct 13 21:38:55 2005] [error] [client 205.206.197.130] Directory index forbidden by rule: /var/www/html/
[Thu Oct 13 22:11:10 2005] [error] [client 219.222.24.202] Directory index forbidden by rule: /var/www/html/
[Thu Oct 13 23:49:18 2005] [error] [client 219.147.104.168] Directory index forbidden by rule: /var/www/html/
[Fri Oct 14 00:11:41 2005] [error] [client 221.8.63.218] Directory index forbidden by rule: /var/www/html/
[Fri Oct 14 00:25:35 2005] [error] [client 218.122.150.44] Directory index forbidden by rule: /var/www/html/
[Fri Oct 14 06:03:26 2005] [error] [client 168.170.202.246] Directory index forbidden by rule: /var/www/html/
[Fri Oct 14 06:29:59 2005] [error] [client 65.173.29.116] Directory index forbidden by rule: /var/www/html/
[Fri Oct 14 07:06:45 2005] [error] [client 71.14.22.158] Directory index forbidden by rule: /var/www/html/
[Fri Oct 14 07:13:13 2005] [error] [client 218.102.213.151] Directory index forbidden by rule: /var/www/html/
[Fri Oct 14 07:28:09 2005] [error] [client 61.10.7.5] Directory index forbidden by rule: /var/www/html/
[Fri Oct 14 08:37:34 2005] [error] [client 24.83.136.216] Directory index forbidden by rule: /var/www/html/
[Fri Oct 14 09:06:35 2005] [error] [client 202.125.58.124] Directory index forbidden by rule: /var/www/html/
[Fri Oct 14 10:21:58 2005] [error] [client 24.83.118.116] Directory index forbidden by rule: /var/www/html/
[Fri Oct 14 11:47:04 2005] [error] [client 66.13.60.110] Directory index forbidden by rule: /var/www/html/
[Fri Oct 14 12:59:14 2005] [error] [client 198.104.0.100] Directory index forbidden by rule: /var/www/html/
[Fri Oct 14 14:55:23 2005] [error] [client 210.49.106.92] Directory index forbidden by rule: /var/www/html/
[Fri Oct 14 16:23:49 2005] [error] [client 218.16.41.220] Directory index forbidden by rule: /var/www/html/
[Fri Oct 14 17:26:56 2005] [error] [client 219.128.142.58] Directory index forbidden by rule: /var/www/html/
[Fri Oct 14 17:52:49 2005] [error] [client 4.244.3.85] Directory index forbidden by rule: /var/www/html/
[Fri Oct 14 18:19:12 2005] [error] [client 192.195.225.6] Directory index forbidden by rule: /var/www/html/
[Fri Oct 14 19:06:56 2005] [error] [client 220.180.235.82] Directory index forbidden by rule: /var/www/html/
[Fri Oct 14 20:55:16 2005] [error] [client 24.87.130.120] Directory index forbidden by rule: /var/www/html/
[Fri Oct 14 21:23:50 2005] [error] [client 61.232.63.3] Directory index forbidden by rule: /var/www/html/
[Fri Oct 14 21:57:51 2005] [error] [client 208.39.169.123] Directory index forbidden by rule: /var/www/html/
[Fri Oct 14 22:37:27 2005] [error] [client 218.74.242.53] Directory index forbidden by rule: /var/www/html/
[Fri Oct 14 23:26:28 2005] [error] [client 4.230.123.239] Directory index forbidden by rule: /var/www/html/
[Sat Oct 15 01:02:25 2005] [error] [client 61.82.131.56] Directory index forbidden by rule: /var/www/html/
[Sat Oct 15 01:02:26 2005] [error] [client 61.82.131.56] Directory index forbidden by rule: /var/www/html/
[Sat Oct 15 01:02:26 2005] [error] [client 61.82.131.56] Directory index forbidden by rule: /var/www/html/
[Sat Oct 15 01:02:27 2005] [error] [client 61.82.131.56] Directory index forbidden by rule: /var/www/html/
[Sat Oct 15 01:02:27 2005] [error] [client 61.82.131.56] Directory index forbidden by rule: /var/www/html/
[Sat Oct 15 01:02:27 2005] [error] [client 61.82.131.56] Directory index forbidden by rule: /var/www/html/
[Sat Oct 15 01:02:28 2005] [error] [client 61.82.131.56] Directory index forbidden by rule: /var/www/html/
[Sat Oct 15 01:02:29 2005] [error] [client 61.82.131.56] Directory index forbidden by rule: /var/www/html/
[Sat Oct 15 01:02:29 2005] [error] [client 61.82.131.56] Directory index forbidden by rule: /var/www/html/
[Sat Oct 15 01:02:30 2005] [error] [client 61.82.131.56] Directory index forbidden by rule: /var/www/html/
[Sat Oct 15 01:02:30 2005] [error] [client 61.82.131.56] Directory index forbidden by rule: /var/www/html/
[Sat Oct 15 01:02:33 2005] [error] [client 61.82.131.56] Directory index forbidden by rule: /var/www/html/
[Sat Oct 15 01:02:33 2005] [error] [client 61.82.131.56] Directory index forbidden by rule: /var/www/html/
[Sat Oct 15 01:02:34 2005] [error] [client 61.82.131.56] Directory index forbidden by rule: /var/www/html/
[Sat Oct 15 01:02:34 2005] [error] [client 61.82.131.56] Directory index forbidden by rule: /var/www/html/
[Sat Oct 15 01:02:34 2005] [error] [client 61.82.131.56] Directory index forbidden by rule: /var/www/html/
[Sat Oct 15 01:02:34 2005] [error] [client 61.82.131.56] Directory index forbidden by rule: /var/www/html/
[Sat Oct 15 01:02:34 2005] [error] [client 61.82.131.56] Directory index forbidden by rule: /var/www/html/
[Sat Oct 15 01:02:34 2005] [error] [client 61.82.131.56] Directory index forbidden by rule: /var/www/html/
[Sat Oct 15 01:02:34 2005] [error] [client 61.82.131.56] Directory index forbidden by rule: /var/www/html/
[Sat Oct 15 01:02:35 2005] [error] [client 61.82.131.56] Directory index forbidden by rule: /var/www/html/
[Sat Oct 15 01:02:36 2005] [error] [client 61.82.131.56] Directory index forbidden by rule: /var/www/html/
[Sat Oct 15 01:02:37 2005] [error] [client 61.82.131.56] Directory index forbidden by rule: /var/www/html/
[Sat Oct 15 02:11:48 2005] [error] [client 204.97.80.7] Directory index forbidden by rule: /var/www/html/
[Sat Oct 15 02:14:53 2005] [error] [client 71.114.238.230] Directory index forbidden by rule: /var/www/html/
[Sat Oct 15 03:11:21 2005] [error] [client 194.133.58.134] Directory index forbidden by rule: /var/www/html/
[Sat Oct 15 05:14:51 2005] [error] [client 219.79.0.242] Directory index forbidden by rule: /var/www/html/
[Sat Oct 15 10:23:58 2005] [error] [client 71.114.212.5] Directory index forbidden by rule: /var/www/html/
[Sat Oct 15 10:49:52 2005] [error] [client 61.144.83.128] Directory index forbidden by rule: /var/www/html/
[Sat Oct 15 11:14:30 2005] [error] [client 218.5.227.58] Directory index forbidden by rule: /var/www/html/
[Sat Oct 15 14:15:49 2005] [error] [client 70.64.125.33] Directory index forbidden by rule: /var/www/html/
[Sat Oct 15 14:20:19 2005] [error] [client 69.151.193.5] Directory index forbidden by rule: /var/www/html/
[Sat Oct 15 14:34:13 2005] [error] [client 70.184.219.135] Directory index forbidden by rule: /var/www/html/
[Sat Oct 15 14:47:28 2005] [error] [client 218.62.32.122] Directory index forbidden by rule: /var/www/html/
