12-17 19:31:41.848 17238 17238 D Bth     : BtChrStatisticsManager:sendScreenOnEvent enter.
12-17 19:31:41.849 17238 17252 D Bth     : BtChrStatisticsManager:msg Loop is running.
12-17 19:31:41.850  1795  1825 I WindowOrientationListener: WindowOrientationListener disabled
12-17 19:31:41.851  1795  1825 I qti_sensors_hal: batch,376,handle 0, timeout:0 ,period_ns:200000000
12-17 19:31:41.851  1795  1825 I qti_sensors_hal: batch:sensor(android.sensor.accelerometer) handle:0 flags:0x0 period_ns 200000000
12-17 19:31:41.854  2852  2852 W HwPhoneLayoutInflater: onCreateView : ClassNotFoundException, In this case we want to let the base class take a crack at it
12-17 19:31:41.855  2852  2852 W HwPhoneLayoutInflater: onCreateView : ClassNotFoundException, In this case we want to let the base class take a crack at it
12-17 19:31:41.861  1795  1825 I qti_sensors_hal: read from oem info: data_readback
12-17 19:31:41.861  1795  1825 I qti_sensors_hal: 0xcd, 0xb0, 0x24, 0x3e
12-17 19:31:41.861  1795  1825 I qti_sensors_hal: 0x66, 0xca, 0x3c, 0x3e
12-17 19:31:41.861  1795  1825 I qti_sensors_hal: 0xc0, 0x2a, 0x7c, 0x3f
12-17 19:31:41.861  1795  1825 I qti_sensors_hal: 0x55, 0x0, 0x0, 0x0
12-17 19:31:41.861  1795  1825 I qti_sensors_hal: 0x0, 0x0, 0x0, 0x0
12-17 19:31:41.861  1795  1825 E qti_sensors_hal: read from oem info: data_valid_flag=0x55
12-17 19:31:41.861  1795  1825 E qti_sensors_hal: read from oem info: x_offset=0.160831, y_offset=0.184366, z_offset=0.985027
12-17 19:31:41.861  1795  1825 E qti_sensors_hal: Final value: x_offset=0.160831, y_offset=0.184366, z_offset=0.985027
12-17 19:31:41.861  1795  1825 I qti_sensors_hal: batch:load_acc_oeminf_data x_offset:0.160831 y_offset:0.184366 z_offset:0.985027
12-17 19:31:41.861  1795  1825 I qti_sensors_hal: batch:sensor(android.sensor.accelerometer) sample_rate=5.000000Hz report_rate_f=0.000000Hz curr sample rate:14.999925 cur rpt rate:0 max:400.000000 min:1.000000
