12-17 19:31:56.620  1795 11745 I HwActivityManagerService: Split enqueueing broadcast [callerApp]:ProcessRecord{ec55919 3608:com.android.incallui/1001}
12-17 19:31:56.631  2883  2996 I HwSystemManager: ITrafficInfo:ITrafficInfo create 301updateBytes = 1769320345
12-17 19:31:56.631  2852  2852 I BadgedIconHelper: isCloneProcess = false
12-17 19:31:56.632  2852  2852 I BadgedIconHelper: isCloneProcess = false
12-17 19:31:56.636  1795  1809 I HwPhoneWindowManager: OverscanTimeout run
12-17 19:31:56.637  2852  2852 I NotificationContentView: transferRemoteInputFocus: 0
12-17 19:31:56.638  2852  2852 I NotificationContentView: transferRemoteInputFocus: 0
12-17 19:31:56.639  2852  2852 I StackScrollAlgorithm: overlapAmount:763.6, previousNotificationEnd:607.0, newYTranslation:-156.59998, location:2, i:1, getTopPadding:499.0, getLocationOnScreen():-36
12-17 19:31:56.639  2852  2852 I StackScrollAlgorithm: updateClipping isOverlap:true
12-17 19:31:56.639  2852  2852 I StackScrollAlgorithm: updateDimmedActivatedHideSensitive overlap:true
12-17 19:31:56.640  2852  2852 I NotificationContentView: transferRemoteInputFocus: 1
12-17 19:31:56.641  2852  2852 I HwExpandableNotificationRowHelper: unclear notification ,notificationPkgName:com.android.incallui key:0|com.android.incallui|2|null|1001
12-17 19:31:56.641  2852  2852 I ActivatableNotificationView: setOverlap mOverlap:true, mDimmed:false
12-17 19:31:56.641  2852  2852 I ActivatableNotificationView: setOverlap mOverlap:true, mDimmed:false
12-17 19:31:56.643  2852  2852 I BackgrounCallingLayout: simCount:2 phoneState:2
12-17 19:31:56.643  2852  2852 I BackgrounCallingLayout: mCallingStatusReceiver:onReceive::action=InCallScreenIsForegroundActivity, isForegroundActivity=false, mPhoneState=2
12-17 19:31:56.645  2852  2852 I BackgrounCallingLayout: simCount:2 phoneState:2
12-17 19:31:56.645  2852  2852 I BackgrounCallingLayout: updateCallLayout:isBackground=false, isInteractive=false
12-17 19:31:56.646  2852  2852 W HwPhoneStatusBar: mNotifyStateChangedReceiver do nothing
12-17 19:31:56.646  2852  2852 I HwPhoneStatusBar: mNotifyStateChangedReceiver::onReceive:action=InCallScreenIsForegroundActivity, mBackgroundState=false
12-17 19:31:56.647  3180  3332 I WakelockMonitor: start wakelock monitor.
12-17 19:31:56.648  3180  3578 I ScreenLockClean: call busy and not start clean apps.
12-17 19:31:56.648  3180  3578 I ash     : ash->screen off
12-17 19:31:56.649  3180  3578 I ash     : Default InputMethod : com.baidu.input_huawei
12-17 19:31:56.649  3180  3578 I ash     : screen off inputmethod, delay to hibernation
12-17 19:31:56.650  3180  3578 I ThermalStateManager: handle action thermal policy:301
12-17 19:31:56.653  1795  3957 E IzatSvc_OSObserver: I/LocTech-Label :: OSOBSERVER :: Data Items In
12-17 19:31:56.653  1795  3957 E IzatSvc_OSObserver: I/LocTech-Value :: Data Item Value: IS_SCREEN_ON: false
12-17 19:31:56.657  2852  2852 D NetworkController.MobileSignalController(0): mSimSubId:0 onDataActivity: direction=0
12-17 19:31:56.663  3879  3879 I HwLauncher: Launcher receiver screen off broadcast sendmessage true
12-17 19:31:56.666  1795  2371 E huawei_ProximitySensor_CPP_Test: ProximitySensor: 9 is far event,0 is close event,value = 9.000000
12-17 19:31:56.666  1795  2371 I huawei_ProximitySensor_CPP_Test: readEvents:345: ProximitySensor: getTimestamp,mPendingEvent.timestamp =-1047631561 
12-17 19:31:56.667  1795  1825 D DisplayPowerController: handleProximitySensorEvent positive:false
12-17 19:31:56.667  1795  1825 D PowerManagerService: Acquiring suspend blocker "PowerManagerService.Display".
12-17 19:31:56.667  1795  1795 I HwScreenOnProximityLock: removeProximityView success vp android.view.ViewRootImpl@6d2547d
12-17 19:31:56.667  1795  1825 I PowerManager_screenOn: DisplayPowerController updatePowerState mPendingRequestLocked=policy=OFF, useProximitySensor=true, useProximitySensorbyPhone=true, screenBrightness=33, screenAutoBrightnessAdjustment=0.0, brightnessSetByUser=true, useAutoBrightness=true, blockScreenOn=false, lowPowerMode=false, boostScreenBrightness=false, dozeScreenBrightness=-1, dozeScreenState=UNKNOWN, useTwilight=false, useSmartBacklight=true, brightnessWaitMode=false, brightnessWaitRet=true, screenAutoBrightness=-1, userId=0
12-17 19:31:56.667  1795  1825 I WindowManger_keyguard: Screen turned off...
12-17 19:31:56.667  1795  1795 D Sensors : batch called handle:2 sample_ns:20000000 latency_ns:0
12-17 19:31:56.667  1795  1795 D Sensors : pa2240-proximity calling driver setDelay 20 ms
12-17 19:31:56.667  1795  1795 E huawei_ProximitySensor_CPP_Test: write 20 failed
12-17 19:31:56.668  1795  1795 I WindowManager: Destroying surface Surface(name=) called by com.android.server.wm.WindowStateAnimator.destroySurface:2056 com.android.server.wm.WindowStateAnimator.destroySurfaceLocked:907 com.android.server.wm.WindowState.removeLocked:1527 com.android.server.wm.WindowManagerService.removeWindowInnerLocked:2723 com.android.server.wm.WindowManagerService.removeWindowInnerLocked:2688 com.android.server.wm.WindowManagerService.removeWindowLocked:2677 com.android.server.wm.WindowManagerService.removeWindowLocked:2546 com.android.server.wm.WindowManagerService.removeWindow:2541 
12-17 19:31:56.670  1795  3237 I AlarmManager: set(PendingIntent{80defc3: PendingIntentRecord{601e5f3 com.huawei.indexsearch.observer broadcastIntent}}) : type=2 triggerAtTime=443453032 win=60000 tElapsed=443453032 maxElapsed=443513032 interval=0 flags=0x8
12-17 19:31:56.671  1795  1795 I WindowManger_keyguard: Setting mDismissKeyguard true by win Window{e6a6b5e u0 com.android.incallui/com.android.incallui.InCallActivity}
12-17 19:31:56.671  1795  1795 I WindowManger_keyguard: Setting mDismissKeyguard true by win Window{e6a6b5e u0 com.android.incallui/com.android.incallui.InCallActivity}
12-17 19:31:56.678  1795  1795 I WindowManger_windowChange: oldFocusWindow: Window{fd98428 u0 android}, currentFocusWindow: Window{e71ca6c u0 com.android.phone}, currentFocusApp: AppWindowToken{844a0b2 token=Token{2fd6a14 ActivityRecord{b46dc67 u0 com.android.incallui/.InCallActivity t310}}}
12-17 19:31:56.680  1795  2778 I WindowManger_keyguard: Setting mDismissKeyguard true by win Window{e6a6b5e u0 com.android.incallui/com.android.incallui.InCallActivity}
12-17 19:31:56.680  1795  1825 V KeyguardServiceDelegate: onScreenTurnedOff()
12-17 19:31:56.680  1795  1825 I WindowManger_keyguard: onScreenTurnedOff()
12-17 19:31:56.680  1795  1825 W HwScreenOnProximityLock: releaseLock: return because sensor listener is held = false
12-17 19:31:56.680  2852  2822 D KeyguardService: Caller checkPermission fail
12-17 19:31:56.680  2852  2822 D KeyguardService: KGSvcCall onScreenTurnedOff.
12-17 19:31:56.680  1795  1825 D HwNormalizedAutomaticBrightnessController: set power status:mPowerStatus=true,powerStatus=false
