[Fri Jun 17 15:05:40 2005] [error] [client 218.65.235.56] request failed: error reading the headers
[Fri Jun 17 15:09:38 2005] [error] [client 60.45.92.12] Directory index forbidden by rule: /var/www/html/
[Fri Jun 17 15:09:43 2005] [error] [client 222.245.96.94] Directory index forbidden by rule: /var/www/html/
[Fri Jun 17 15:10:52 2005] [error] [client 211.251.38.253] Directory index forbidden by rule: /var/www/html/
[Fri Jun 17 15:13:30 2005] [error] [client 65.69.58.23] Directory index forbidden by rule: /var/www/html/
[Fri Jun 17 15:18:18 2005] [error] [client 218.85.181.38] Directory index forbidden by rule: /var/www/html/
[Fri Jun 17 15:18:23 2005] [error] [client 221.200.248.88] Directory index forbidden by rule: /var/www/html/
[Fri Jun 17 15:21:16 2005] [error] [client 61.234.149.170] Directory index forbidden by rule: /var/www/html/
[Fri Jun 17 15:30:22 2005] [error] [client 66.25.103.117] Directory index forbidden by rule: /var/www/html/
[Fri Jun 17 15:30:55 2005] [error] [client 211.98.106.170] Directory index forbidden by rule: /var/www/html/
[Fri Jun 17 15:32:18 2005] [error] [client 220.112.97.44] Directory index forbidden by rule: /var/www/html/
[Fri Jun 17 15:38:31 2005] [error] [client 220.248.128.200] Directory index forbidden by rule: /var/www/html/
[Fri Jun 17 15:40:22 2005] [error] [client 63.85.175.4] Directory index forbidden by rule: /var/www/html/
[Fri Jun 17 15:42:03 2005] [error] [client 68.48.173.173] Directory index forbidden by rule: /var/www/html/
[Fri Jun 17 15:48:59 2005] [error] [client 69.158.10.140] Directory index forbidden by rule: /var/www/html/
[Fri Jun 17 16:03:48 2005] [error] [client 218.13.23.56] Directory index forbidden by rule: /var/www/html/
[Fri Jun 17 16:05:37 2005] [error] [client 218.104.9.2] Directory index forbidden by rule: /var/www/html/
[Fri Jun 17 16:06:49 2005] [error] [client 221.1.247.15] Directory index forbidden by rule: /var/www/html/
[Fri Jun 17 16:11:19 2005] [error] [client 216.37.120.50] Directory index forbidden by rule: /var/www/html/
[Fri Jun 17 16:12:32 2005] [error] [client 61.80.142.81] Directory index forbidden by rule: /var/www/html/
[Fri Jun 17 16:13:00 2005] [error] [client 80.139.84.167] Directory index forbidden by rule: /var/www/html/
[Fri Jun 17 16:14:59 2005] [error] [client 218.65.235.56] Directory index forbidden by rule: /var/www/html/
[Fri Jun 17 16:15:15 2005] [error] [client 61.230.136.111] Directory index forbidden by rule: /var/www/html/
[Fri Jun 17 16:15:19 2005] [error] [client 203.100.175.182] Directory index forbidden by rule: /var/www/html/
[Fri Jun 17 16:20:46 2005] [error] [client 66.238.240.69] Directory index forbidden by rule: /var/www/html/
[Fri Jun 17 16:21:59 2005] [error] [client 69.193.52.124] Directory index forbidden by rule: /var/www/html/
[Fri Jun 17 16:24:56 2005] [error] [client 65.118.121.197] Directory index forbidden by rule: /var/www/html/
[Fri Jun 17 16:25:04 2005] [error] [client 24.8.210.20] Directory index forbidden by rule: /var/www/html/
[Fri Jun 17 16:27:01 2005] [error] [client 220.125.209.168] Directory index forbidden by rule: /var/www/html/
[Fri Jun 17 16:27:44 2005] [error] [client 222.50.101.141] Directory index forbidden by rule: /var/www/html/
[Fri Jun 17 16:28:19 2005] [error] [client 64.247.236.146] Directory index forbidden by rule: /var/www/html/
[Fri Jun 17 16:28:25 2005] [error] [client 69.4.105.46] Directory index forbidden by rule: /var/www/html/
[Fri Jun 17 16:30:19 2005] [error] [client 59.150.212.178] Directory index forbidden by rule: /var/www/html/
[Fri Jun 17 16:32:40 2005] [error] [client 66.92.68.90] Directory index forbidden by rule: /var/www/html/
[Fri Jun 17 16:34:04 2005] [error] [client 63.19.52.174] Directory index forbidden by rule: /var/www/html/
[Fri Jun 17 16:35:56 2005] [error] [client 61.234.149.170] Directory index forbidden by rule: /var/www/html/
[Fri Jun 17 16:40:24 2005] [error] [client 12.220.75.167] Directory index forbidden by rule: /var/www/html/
[Fri Jun 17 16:45:14 2005] [error] [client 222.33.93.243] Directory index forbidden by rule: /var/www/html/
[Fri Jun 17 16:46:49 2005] [error] [client 64.168.178.2] Directory index forbidden by rule: /var/www/html/
[Fri Jun 17 16:51:02 2005] [error] [client 80.139.78.136] Directory index forbidden by rule: /var/www/html/
[Fri Jun 17 16:53:06 2005] [error] [client 203.229.212.1] Directory index forbidden by rule: /var/www/html/
[Fri Jun 17 16:58:18 2005] [error] [client 220.140.193.234] Directory index forbidden by rule: /var/www/html/
[Fri Jun 17 16:58:38 2005] [error] [client 64.80.184.244] Directory index forbidden by rule: /var/www/html/
[Fri Jun 17 17:02:43 2005] [error] [client 64.180.103.108] Directory index forbidden by rule: /var/www/html/
[Fri Jun 17 17:04:47 2005] [error] [client 60.214.96.205] Directory index forbidden by rule: /var/www/html/
[Fri Jun 17 17:15:50 2005] [error] [client 61.234.149.170] Directory index forbidden by rule: /var/www/html/
[Fri Jun 17 17:17:20 2005] [error] [client 64.80.184.244] Directory index forbidden by rule: /var/www/html/
