[Tue Nov 22 05:43:21 2005] [error] [client 200.94.105.213] File does not exist: /var/www/html/blog
script not found or unable to stat
[Tue Nov 22 05:43:21 2005] [error] [client 200.94.105.213] File does not exist: /var/www/html/wordpress
[Tue Nov 22 05:43:21 2005] [error] [client 200.94.105.213] File does not exist: /var/www/html/phpgroupware
[Tue Nov 22 05:43:21 2005] [error] [client 200.94.105.213] File does not exist: /var/www/html/xmlsrv
[Tue Nov 22 05:43:21 2005] [error] [client 200.94.105.213] File does not exist: /var/www/html/wordpress
[Tue Nov 22 05:43:21 2005] [error] [client 200.94.105.213] File does not exist: /var/www/html/wordpress
script not found or unable to stat
[Tue Nov 22 05:43:21 2005] [error] [client 200.94.105.213] File does not exist: /var/www/html/xmlrpc
[Tue Nov 22 05:43:21 2005] [error] [client 200.94.105.213] File does not exist: /var/www/html/xmlrpc
script not found or unable to stat
[Tue Nov 22 05:43:21 2005] [error] [client 200.94.105.213] File does not exist: /var/www/html/phpgroupware
[Tue Nov 22 05:43:21 2005] [error] [client 200.94.105.213] File does not exist: /var/www/html/xmlsrv
script not found or unable to stat
[Tue Nov 22 05:43:21 2005] [error] [client 200.94.105.213] File does not exist: /var/www/html/blogs
[Tue Nov 22 05:43:21 2005] [error] [client 200.94.105.213] File does not exist: /var/www/html/xmlrpc
script not found or unable to stat
[Tue Nov 22 05:43:21 2005] [error] [client 200.94.105.213] File does not exist: /var/www/html/wordpress
[Tue Nov 22 05:43:21 2005] [error] [client 200.94.105.213] File does not exist: /var/www/html/xmlrpc
[Tue Nov 22 05:43:21 2005] [error] [client 200.94.105.213] File does not exist: /var/www/html/wordpress
script not found or unable to stat
[Tue Nov 22 05:43:21 2005] [error] [client 200.94.105.213] File does not exist: /var/www/html/xmlrpc
[Tue Nov 22 05:43:21 2005] [error] [client 200.94.105.213] File does not exist: /var/www/html/drupal
[Tue Nov 22 05:43:21 2005] [error] [client 200.94.105.213] File does not exist: /var/www/html/xmlrpc
script not found or unable to stat
script not found or unable to stat
[Tue Nov 22 05:43:21 2005] [error] [client 200.94.105.213] File does not exist: /var/www/html/xmlsrv
[Tue Nov 22 05:43:21 2005] [error] [client 200.94.105.213] File does not exist: /var/www/html/phpgroupware
[Tue Nov 22 05:43:21 2005] [error] [client 200.94.105.213] File does not exist: /var/www/html/xmlrpc
[Tue Nov 22 05:43:21 2005] [error] [client 200.94.105.213] File does not exist: /var/www/html/xmlrpc
[Tue Nov 22 05:43:21 2005] [error] [client 200.94.105.213] File does not exist: /var/www/html/xmlsrv
[Tue Nov 22 05:43:21 2005] [error] [client 200.94.105.213] File does not exist: /var/www/html/xmlsrv
[Tue Nov 22 05:43:21 2005] [error] [client 200.94.105.213] File does not exist: /var/www/html/xmlsrv
[Tue Nov 22 05:43:21 2005] [error] [client 200.94.105.213] File does not exist: /var/www/html/xmlsrv
[Tue Nov 22 05:43:21 2005] [error] [client 200.94.105.213] File does not exist: /var/www/html/xmlsrv
[Tue Nov 22 05:43:21 2005] [error] [client 200.94.105.213] File does not exist: /var/www/html/xmlrpc
[Tue Nov 22 05:43:21 2005] [error] [client 200.94.105.213] File does not exist: /var/www/html/xmlsrv
[Tue Nov 22 05:43:21 2005] [error] [client 200.94.105.213] File does not exist: /var/www/html/wordpress
script not found or unable to stat
[Tue Nov 22 05:43:21 2005] [error] [client 200.94.105.213] File does not exist: /var/www/html/xmlrpc
[Tue Nov 22 05:43:21 2005] [error] [client 200.94.105.213] File does not exist: /var/www/html/xmlsrv
[Tue Nov 22 05:43:21 2005] [error] [client 200.94.105.213] File does not exist: /var/www/html/xmlsrv
[Tue Nov 22 05:43:22 2005] [error] [client 200.94.105.213] script not found or unable to stat: /var/www/cgi-bin/awstats
[Tue Nov 22 05:43:22 2005] [error] [client 200.94.105.213] script not found or unable to stat: /var/www/cgi-bin/awstats
[Tue Nov 22 05:43:22 2005] [error] [client 200.94.105.213] script not found or unable to stat: /var/www/cgi-bin/awstats.pl
[Tue Nov 22 05:43:35 2005] [notice] workerEnv.init() ok /etc/httpd/conf/workers2.properties
[Tue Nov 22 05:43:36 2005] [error] mod_jk child workerEnv in error state 4
[Tue Nov 22 06:03:46 2005] [error] [client 148.245.16.6] Directory index forbidden by rule: /var/www/html/
[Tue Nov 22 06:03:46 2005] [error] [client 148.245.16.6] Directory index forbidden by rule: /var/www/html/
[Tue Nov 22 06:03:46 2005] [error] [client 148.245.16.6] Directory index forbidden by rule: /var/www/html/
[Tue Nov 22 06:03:46 2005] [error] [client 148.245.16.6] Directory index forbidden by rule: /var/www/html/
[Tue Nov 22 06:03:46 2005] [error] [client 148.245.16.6] Directory index forbidden by rule: /var/www/html/
[Tue Nov 22 06:03:46 2005] [notice] jk2_init() Found child 502 in scoreboard slot 9
[Tue Nov 22 06:03:46 2005] [error] [client 148.245.16.6] Directory index forbidden by rule: /var/www/html/
[Tue Nov 22 06:03:48 2005] [error] [client 148.245.16.6] Directory index forbidden by rule: /var/www/html/
[Tue Nov 22 06:03:48 2005] [error] [client 148.245.16.6] Directory index forbidden by rule: /var/www/html/
[Tue Nov 22 06:03:48 2005] [error] [client 148.245.16.6] Directory index forbidden by rule: /var/www/html/
[Tue Nov 22 06:03:48 2005] [error] [client 148.245.16.6] Directory index forbidden by rule: /var/www/html/
[Tue Nov 22 06:03:48 2005] [error] [client 148.245.16.6] Directory index forbidden by rule: /var/www/html/
[Tue Nov 22 06:03:48 2005] [error] [client 148.245.16.6] Directory index forbidden by rule: /var/www/html/
[Tue Nov 22 06:03:48 2005] [error] [client 148.245.16.6] Directory index forbidden by rule: /var/www/html/
[Tue Nov 22 06:03:48 2005] [error] [client 148.245.16.6] Directory index forbidden by rule: /var/www/html/
[Tue Nov 22 06:03:48 2005] [error] [client 148.245.16.6] Directory index forbidden by rule: /var/www/html/
[Tue Nov 22 06:03:48 2005] [notice] workerEnv.init() ok /etc/httpd/conf/workers2.properties
[Tue Nov 22 06:03:48 2005] [error] mod_jk child workerEnv in error state 4
[Tue Nov 22 06:03:48 2005] [error] [client 148.245.16.6] Directory index forbidden by rule: /var/www/html/
[Tue Nov 22 06:03:48 2005] [error] [client 148.245.16.6] Directory index forbidden by rule: /var/www/html/
[Tue Nov 22 06:03:48 2005] [error] [client 148.245.16.6] Directory index forbidden by rule: /var/www/html/
[Tue Nov 22 06:03:48 2005] [error] [client 148.245.16.6] Directory index forbidden by rule: /var/www/html/
[Tue Nov 22 06:03:48 2005] [error] [client 148.245.16.6] Directory index forbidden by rule: /var/www/html/
[Tue Nov 22 06:03:48 2005] [error] [client 148.245.16.6] Directory index forbidden by rule: /var/www/html/
[Tue Nov 22 06:03:48 2005] [error] [client 148.245.16.6] Directory index forbidden by rule: /var/www/html/
[Tue Nov 22 06:03:48 2005] [error] [client 148.245.16.6] Directory index forbidden by rule: /var/www/html/
[Tue Nov 22 06:04:06 2005] [error] [client 148.245.16.6] Directory index forbidden by rule: /var/www/html/
[Tue Nov 22 06:04:06 2005] [error] [client 148.245.16.6] Directory index forbidden by rule: /var/www/html/
[Tue Nov 22 06:04:06 2005] [error] [client 148.245.16.6] Directory index forbidden by rule: /var/www/html/
[Tue Nov 22 06:04:06 2005] [error] [client 148.245.16.6] Directory index forbidden by rule: /var/www/html/
[Tue Nov 22 06:04:06 2005] [error] [client 148.245.16.6] Directory index forbidden by rule: /var/www/html/
[Tue Nov 22 06:04:06 2005] [error] [client 148.245.16.6] Directory index forbidden by rule: /var/www/html/
[Tue Nov 22 06:04:06 2005] [error] [client 148.245.16.6] Directory index forbidden by rule: /var/www/html/
[Tue Nov 22 06:04:06 2005] [error] [client 148.245.16.6] Directory index forbidden by rule: /var/www/html/
[Tue Nov 22 06:04:06 2005] [error] [client 148.245.16.6] Directory index forbidden by rule: /var/www/html/
[Tue Nov 22 06:04:06 2005] [error] [client 148.245.16.6] Directory index forbidden by rule: /var/www/html/
[Tue Nov 22 06:04:06 2005] [error] [client 148.245.16.6] Directory index forbidden by rule: /var/www/html/
[Tue Nov 22 06:04:06 2005] [error] [client 148.245.16.6] Directory index forbidden by rule: /var/www/html/
[Tue Nov 22 06:04:06 2005] [error] [client 148.245.16.6] Directory index forbidden by rule: /var/www/html/
